This was downloaded from Data Portal using Data View - in order to get wtihdrawals from entire year.,,,,,,,,,
2020-04-26,60.35,92.476,112.58,0,10.11,11.19,65.9,57.44,6.52
2020-04-27,60.26,92.482,114.71,0, ,10.72,67.84,48.93,6.71
2020-04-28,58.75,87.521,125.79,0,12.3,10.48,69.56,48.76,6.6
2020-04-29,58,85.148,119.46,0,13.01, ,73.01,58.03,6.81
2020-04-30,59.25,87.769,120.55,0,10.13,13.88,79.8,58.06,6.64
2020-05-01,59.53,92.698,121.46,0,12.92,10.1,67.27,58.03,6.81
2020-05-02,59.79,93.724,115.08,0,12.86,9.64,74.78,50.31,7.06
2020-05-03,59.64,95.755,113.04,0,8.1,13.62,68.8,50.4,7.28
2020-05-04,59.15,94.534,114.09,0, ,14.28,82.06,58.77,7.13
2020-05-05,62.59,92.737,130,0,13.8,9.8,79.94,58.63,7.38
2020-05-06,63.83,91.527,126.46,0,12.78, ,70.1,58.97,7.82
2020-05-07,60.75,90.8,127.16,0,11.51,10.33,64.55,53.05,7.63
2020-05-08,63.94,91.157,115.71,0,12.75,10.23,72.27,48.56,7.47
2020-05-09,63.82,91.539,125.59,0,12.71, ,75.1,48.55,7.31
2020-05-10,59.09,91.788,116.58,0,10.12,11.72,63.84,51.42,7.04
2020-05-11,64.08,102.672,113.59,0,10.32,11.91,70.15,57.95,6.31
2020-05-12,63.82,89.066,121.63,0,15.34, ,82.16,57.7,6.4
2020-05-13,57.96,91.55,114.67,0,14.54,10.4,88.68,58.09,6.36
2020-05-14,64.96,109.29,112.59,26.42, ,16.09,86.57,52.93,6.51
2020-05-15,64.94,93.479,132.79,0, ,15.68,87.57,57.15,5.89
2020-05-16,64.51,100.8,124.8,3.66, ,17.71,90.95,57.89,4.33
2020-05-17,64.36,109.171,126.66,0, ,16.78,100.77,57.82,5.32
2020-05-18,64.42,107.098,130.58,0, ,14.27,91,55.59,5.47
2020-05-19,59.48,92.517,120.79,0, ,16.48,89.34,54.67,6.07
2020-05-20,63.19,97.149,124.26,0,15.85, ,93.61,55.45,5.82
2020-05-21,63.29,99.708,125,0,18.01,10.65,88.94,58.4,6.62
2020-05-22,63.74,106.033,125.17,0,15.96,10.76,90.97,58.45,6.49
2020-05-23,64.89,91.476,133.38,0,13.86,10.17,86.35,58.45,5.39
2020-05-24,63.92,96.169,126.88,0,10.22,15.03,83.05,58.32,4.68
2020-05-25,64.05,101.746,118.46,0,10,13.77,85.14,55.88,5.81
2020-05-26,64.05,95.423,132.09,0,10.35,16.34,92.61,53.72,5.73
2020-05-27,63.56,116.552,128.79,0,17.59,10.6,102.15,58.25,6.08
2020-05-28,63.7,104.918,135.51,0,17.67,10.24,97.03,54.85,6.03
2020-05-29,63.95,91.3,139.54,0,16.71,10.44,92.82,56.97,5.74
2020-05-30,64.22,113.398,137.41,0,10.91,19.7,90.99,50.71,5.42
2020-05-31,64.23,102.178,153.12,0,10.31,17.38,105.2,58.32,5.45
2020-06-01,96.18,107.098,127.21,0,16.93,11.43,65.72,58.42,5.45
2020-06-02,114,106.398,126.79,0,21.42,11.47,69.9,58.4,5.54
2020-06-03,102.3,102.548,130.63,0,19.06,12.13,68.6,56.49,5.12
2020-06-04,121.5,126.142,159.54,0,25.88,12.83,68.2,58.33,4.3
2020-06-05,116.1,129.033,154.33,0,21.51,11.89,70.1,58.37,4.87
2020-06-06,94,94.476,129,0,14.03,11.5,66.6,58.48,5.62
2020-06-07,87.2,100.26,145.62,0,15.34,11.06,64.6,58.79,4.8
2020-06-08,92.3,104.387,128.05,0,11.46,16.93,65.3,58.95,5.37
2020-06-09,111.9,110.34,136.71,0,20.79,13.13,75.2,58.37,6.06
2020-06-10,116.9,122.708,167.33,0,22.01,11.57,72.7,52.2,5.95
2020-06-11,116.9,126.365,151.42,0,21.62,11.6,76,56.97,5.6
2020-06-12,74.4,107.632,157.04,0, , ,72,58.52, 
2020-06-13,110.9,95.924,135.54,0, , ,69.7,58.02, 
2020-06-14,101.7,113.423,138.21,0, , ,73,57.74, 
2020-06-15,105,106.221,124.75,0, , ,75.1,57.82, 
2020-06-16,111.1,111.723,144.38,0, , ,70.8,54.46, 
2020-06-17,110.9,119.317,140.33,0, , ,71.1, , 
2020-06-18,91.3,115.257,144.71,0,19.62,11.13,71.1,51.81,7.07
2020-06-19,77.7,101.261,136.75,0,10.2,17.27,68.3,52.56,5.84
2020-06-20,87.5,107.187,132.63,0,10.14,15.03,74.6,52.2,5.35
2020-06-21,77.4,104.641,132.5,0,14.47,10.14,70.6,52.15,5.78
2020-06-22,84.3,109.862,128.25,0,10.2,17.5,70.4,52.08,5.87
2020-06-23,103.8,109.269,142.54,0,9.83,18.23,70,52.01,5.73
2020-06-24,99.7,111.466,144.62,0,10.09,14.96,66.5,49.57,6.41
2020-06-25,117.9,118.704,149.87,0, , ,69.3,52.98, 
2020-06-26,109.7,112.621,145.04,0,9.74,19.57,74,53.67,5.39
2020-06-27,116.4,112.342,144.34,0,10.03,22.18,74.5,55.16,5.3
2020-06-28,116.6,101.046,150.17,0, , ,74.6,56.49, 
2020-06-29,111.8,117.563,147.5,0,10.09,20.74,75.3,56.51,5.36
2020-06-30,134.5,131.954,154.5,0,10.09,26.88,75.6,56.91,5.31
2020-07-01,128.7,107.586,140.5,0, , ,79.2,53.49, 
2020-07-02,117.72,124.088,158.54,0,11.7,23.84,77.37,63.41,6.04
2020-07-03,126.01,120.132,159.21,0,10.11,28.29,75.52,53.32,5.38
2020-07-04,143.02,127.053,165.75,0,10.41,28.47,78.3,62.5,4.6
2020-07-05,137.18,130.375,152.71,0,10.49,27.63,84.71,67.23,5.06
2020-07-06,129.58,108.292,142.13,0,10.19,26.03,78.49,57.83,6.03
2020-07-07,117.34,126.907,151.92,0,10.74,24.69,82.19,57.78,5.92
2020-07-08,100.93,114.225,141.05,0, , ,75.56,54.6, 
2020-07-09,130.79,115.161,143.62,0,10.42,23.96,75.96,56.37,5.76
2020-07-10,123.25,117.602,147.09,0,11.65,25.4,76.2,62.34,5.79
2020-07-11,131.55,125.212,152.5,0,11.66,26.95,76.36,67.67,5.9
2020-07-12,124.57,116.942,136.84,0, , ,80.23,67.23, 
2020-07-13,124.18,115.301,147.96,0, , ,77.52,66.82, 
2020-07-14,130.01,112.482,145.58,0,11.05,26.1,80.24,65.87,4.89
2020-07-15,134.54,115.93,154.5,0,10.39,27.2,76.6,66.06,4.92
2020-07-16,141.01,126.58,153.79,0,10.67,27.92,79,66.41,6.43
2020-07-17,134.42,126.837,152.46,0,10.3,27.81,84.81,66.42,6.14
2020-07-18,149.63,118.693,154.92,0,29.88,11.46,86.2,61.48,5.22
2020-07-19,152.24,135.98,154.5,0,9.6,32.5,79.96,73.44,4.94
2020-07-20,155.67,136.55,157.5,0,33.79,10.43,83.24,76.13,4.84
2020-07-21,157.72,136.358,139.19,34.56,10.74,32.03,85.49,72.16,5.11
2020-07-22,128.53,126.931,159.37,0, , ,80.37,65.91, 
2020-07-23,105.73,110.785,162.41,0,22.11,10.69,76.56,61.53,6.53
2020-07-24,92.91,114.659,142.34,0,16.23, ,71.95,67.65,5.99
2020-07-25,96.56,103.857,146.34,0,19.47,10.29,72.02,67.01,6.17
2020-07-26,96.86,96.824,135.92,0,10.13,19.35,71.95,66.9,6.13
2020-07-27,122.38,126.062,139.04,0,25.95,10.37,72.07,68.77,5.44
2020-07-28,139.77,121.065,157.5,0,31.29,10.85,79.9,67.59,5.75
2020-07-29,119.82,125.314,171.75,0,10.5,27.1,81.21,65.75,5.83
2020-07-30,136.78,138.16,157.54,0,30.71,10.47,79.96,44.05,4.43
2020-07-31,127.74,138.077,158.37,0, , ,80.56,77.62, 
2020-08-01,83.3,109.621,145.67,0,18.05,10.35,75.06,72.06,7.09
2020-08-02,94.99,107.114,135.29,0, , ,70.89,66.69, 
2020-08-03,111.6,114.41,146.42,0, , ,71.23,73.85, 
2020-08-04,109.92,120.743,146.88,0,10.96,23.36,72.25,75.35,6.75
2020-08-05,80.24,102.665,130.83,0, , ,72.97,70.31, 
2020-08-06,97.27,111.134,37,98.21, , ,68.71,70.19, 
2020-08-07,87.25,107.94,134.05,8.32,9.72,16.07,71.15,70.26,6.42
2020-08-08,100.35,114.217,144.01,0,26.03,3.16,71.52,64.25,6.06
2020-08-09,113.03,111.381,132.29,0, , ,76.89,58.24, 
2020-08-10,112.83,123.266,138.67,0, , ,73.27,58.16, 
2020-08-11,125.54,122.281,150.34,0,5.21,30.06,75.7,59.74,7.14
2020-08-12,107.94,122.921,141,0,10.23,23.69,77.28,68.76,6.07
2020-08-13,103.05,120.003,150,0,11.41,20.39,76.26,68.3,6.87
2020-08-14,84.46,108.995,142.83,0, , ,72.29,61.52, 
2020-08-15,96.26,104.564,142.79,0, , ,71.77,61.44, 
2020-08-16,76.21,118.17,140.67,0, , ,68.55,55.46, 
2020-08-17,82.05,107.743,131,0,13.84,10.31,67.97,53.56,8.5
2020-08-18,90.16,119.419,124.09,0,10.7,16.63,67.26,52.17,7.97
2020-08-19,89.82,130.815,146.5,0,10.42,18.95,71.37,51.72,7.62
2020-08-20,102.77,116.868,139.67,0, , ,70.72,54.23, 
2020-08-21,86.27,122.181,127.87,0, , ,71.47,51.45, 
2020-08-22,105.99,125.761,136.29,0,10.54,21.97,71.6,47.64,7.44
2020-08-23,88.64,137.113,122.04,0,18.71, ,71.78,51.76,7.53
2020-08-24,89.28,108.4,127.8,0, , ,71.85,52.45, 
2020-08-25,112.26,128.786,142.79,0,10.41,22.84,71.67,52.96,7.33
2020-08-26,95.84,122.943,151.59,0,10.79,19.94,72.98,55.62,7.55
2020-08-27,96.09,129.365,136.54,0,10.96,19.64,75.21,48.34,6.53
2020-08-28,95.01,132.865,156.92,0,11.15,20.77,73.39,48.4,5.98
2020-08-29,107.56,132.656,139.42,0,21.78,11.18,73.34,53.78,6.82
2020-08-30,78.16,106.906,136.83,0, , ,70.08,53.52, 
2020-08-31,79.11,115.232,119.21,0, , ,68.14,53.46, 
2020-09-01,94.17,121.399,140.8,0,10.82,16.95,67.21,53.48,7.69
2020-09-02,82.18,110.194,136,0,10.49,13.7,70.17,53.43,7.79
2020-09-03,79.84,112.631,136.38,0,10.24,15.71,69.49,53.42,7.01
2020-09-04,81.46,118.039,144,0,10.5,15.37,69.44,53.44,7.65
2020-09-05,89.41,117.436,135.75,0,15,9.61,69.9,53.5,6.76
2020-09-06,86.69,113.792,115.05,0, , ,70.17,53.56, 
2020-09-07,84.95,110.207,120.21,0, , ,70.18,53.45, 
2020-09-08,102.22,123.347,116.8,0, , ,74.6,53.43, 
2020-09-09,92.12,118.225,147.25,0, , ,73.64,52.5, 
2020-09-10,0,117.332,144.76,0, , ,0,52.3, 
2020-09-11,44.09,114.642,132.09,0, , ,39.05,52.34, 
2020-09-12,89.43,113.866,140.71,0, , ,67.83,52.48, 
2020-09-13,78.87,126.508,125.41,0, , ,68.42,50.5, 
2020-09-14,87.54,107.14,120.26,0, , ,68.31,53.46, 
2020-09-15,92.7,120.733,135.5,0,10.44,18.96,68.7,53.39,6.1
2020-09-16,95.2,117.467,127.87,0, , ,72.1,53.47, 
2020-09-17,92.32,116.161,127.84,0,10.53,17.73,68.05,53.44,6.47
2020-09-18,86.84,113.685,132.33,0,10.29,16.81,65.8,53.37,5.91
2020-09-19,78.64,114.807,123.96,0,16.18,11.04,69.56,53.35,6.19
2020-09-20,84.8,108.715,125.17,0, , ,69.77,53.36, 
2020-09-21,85.69,116.869,121.38,0, , ,65.8,53.25, 
2020-09-22,99.49,108.671,132.88,0,10.48,19.57,64.03,53.28,7.29
2020-09-23,98.88,114.009,132.09,0,10.75,17.73,63.36,53.23,7.27
2020-09-24,103,118.008,138.29,0,10.73,20.27,67.77,53.17,6.86
2020-09-25,92.03,116.409,132.08,0,10.54,18.01,67.52,53.01,7.09
2020-09-26,89.79,113.727,134.71,0,17.92,10.69,68.33,52.9,7.15
2020-09-27,75.3,115.759,138.16,0, , ,69.11,52.03, 
2020-09-28,77.5,111.338,127.66,0, , ,65.32,52.01, 
2020-09-29,82.77,111.285,120.79,0, , ,64.18,53.2, 
2020-09-30,90.52,115.841,133.42,0, , ,67.23,54.06, 
2020-10-01,73.47,108.736,126.71,0, , ,64.83,54.04, 
2020-10-02,88.45,90.382,127.13,0,8.22,15.39,62.37,57.08,6.66
2020-10-03,89.31,111.615,122.71,0,18.21,8.25,62.42,72.17,7.3
2020-10-04,85.64,105.087,124.43,0, , ,64.24,75.52, 
2020-10-05,90.06,108.121,114.38,0, , ,67.86,53.15, 
2020-10-06,93.75,99.857,124.29,0,8.19,18.34,62.87,67.47,6.62
2020-10-07,93.11,103.941,131.46,0,8.17,17.86,62.98,59.91,7.24
2020-10-08,106.25,106.26,126.08,0,8.22,20.86,67.45,62.28,7.06
2020-10-09,102.21,111.25,131.04,0,8.17,18.14,68.37,54.98,7.04
2020-10-10,95.99,109.96,135.75,0,19.34,8.19,68.09,60.87,7.33
2020-10-11,86.43,103.422,125.38,0, , ,69.48,54.78, 
2020-10-12,79.53,105.257,127.58,0, , ,62.08,57.15, 
2020-10-13,77.63,100.866,120.04,0, , ,61.55,43.35, 
2020-10-14,83.14,100.09,126.46,0,14.56,8.25,59.55,54.06,8.42
2020-10-15,78.63,106.347,54.93,0, , ,60.06,53.08, 
2020-10-16,86.29,102.844,124.13,0,8.24,15.68,62.88,52.99,6.83
2020-10-17,91.05,103.158,119.88,0,16.06,8.22,59.61,53.05,7.6
2020-10-18,71.69,109.021,60.56,0, , ,59.89,50.44, 
2020-10-19,88.57,103.751,126.38,0, , ,60.16,48.42, 
2020-10-20,88.58,100.758,121.5,0,8.23,17.72,59.75,64.92,7.06
2020-10-21,89.58,102.106,125.67,0,8.22,16.87,59.65,52.93,7.52
2020-10-22,88.78,104.189,135.33,0,8.25,19.49,59.65,55.07,7.86
2020-10-23,81.13,107.061,132.08,0,15.93,8.22,59.81,55.06,7.19
2020-10-24,97.81,102.031,131.25,0,8.18,16.57,59.82,55.14,7.12
2020-10-25,85.03,107.444,135.21,0,17.15,8.19,57.32,55.13,7.12
2020-10-26,75.71,104.155,133.29,0,12.95,8.2,57.65,55.16,7.71
2020-10-27,78.79,95.261,139.21,0, , ,61.06,54.79, 
2020-10-28,66.75,98.773,125.38,0, , ,59.42,53.06, 
2020-10-29,75.38,103.934,130.54,0,8.19,13.93,59.27,53.01,7.61
2020-10-30,71.29,107.405,120.25,0,12.39,8.18,59.39,52.99,7.91
2020-10-31,66.8,95.36,125.38,0, , ,65.25,53.28, 
2020-11-01,71.99,99.299,116.92,0, , ,59.53,53.33, 
2020-11-02,79.66,100.474,121,0, , ,59.67,53.33, 
2020-11-03,73.24,105.705, , , , ,59.36,55.52, 
2020-11-04,76.58,106.262,117.58,0,8.27,13.61,58.95,53.29,8.28
2020-11-05,73.78,96.471,124.46,0,8.19,14.07,55.72,53.27,7.58
2020-11-06,74.67,101.642,121.42,0,12.99,8.18,59.38,53.36,6.98
2020-11-07,74.19,106.397,124,0, , ,59.51,53.38, 
2020-11-08,74.54,108.883,122.08,0, , ,59.43,53.41, 
2020-11-09,74.48,95.761,110.79,0, , ,59.56,53.39, 
2020-11-10,88.23,109.622,123.17,0, , ,59.24,53.34, 
2020-11-11,63.69,111.72,116.5,0, , ,59.16,53.21, 
2020-11-12,67.37,102.106,118.54,0,8.13,12.87,58.96,53.49,6.9
2020-11-13,60.96, ,119.83,0,8.18,11.28,58.46,53.48,7.47
2020-11-14,61.02, ,115.08,0, , ,57.35, , 
